name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Nocardioides sp. cx-173	0.00166	0	6.1e-4	6.8e-4	0.0017	0	0	5.5e-4	0	0
Nocardioides sp. CF8	0.00191	0	7.8e-4	9.6e-4	0.00234	0	0	0	0	0
Nocardioides sp. InS609-2	0.00118	0	5.8e-4	5.6e-4	0.0017	0	0	4.9e-4	0	0
Nocardioides sp. JQ2195	0.00118	0	3.5e-4	3.7e-4	0.0014	0	0	0	0	0
Nocardioides sp. HM61	0.00118	0	3.8e-4	4.5e-4	9.4e-4	0	0	0	0	0
Nocardioides sp. QY071	0.00143	0	7.8e-4	0	0.00143	0	0	5.2e-4	0	0
Nocardioides sp. B-3	0.00105	0	4.6e-4	3.7e-4	9.9e-4	0	0	4.6e-4	0	0
Nocardioides sp. Kera G14	6.7e-4	0	0	0	6.1e-4	0	0	0	0	0
Nocardioides sp. dk884	0.00124	0	0.00093000000000000005	8.7e-4	0.00164	0	0	0	0	0
Nocardioides sp. BP30	6.1e-4	0	4.9e-4	0	9.7e-4	0	0	0	0	0
Nocardioides mesophilus	0.00373	0	0.00116	0.0013	0.00436	0	0	5.2e-4	0	0
Nocardioides panacis	0.00335	0	8.4e-4	0.00107	0.00257	0	0	8.5e-4	0	0
Nocardioides okcheonensis	0.00344	9.4e-4	0.00113	8.5e-4	0.00246	0	0	7.5e-4	0	0
Nocardioides euryhalodurans	0.0022	0	6.4e-4	4.8e-4	0.00219	0	0	6.8e-4	0	0
Nocardioides marmotae	0.00255	0	8.7e-4	0.00104	0.00196	0	0	8.8e-4	0	0
Nocardioides rotundus	0.00217	0	0.00101	8.5e-4	0.00199	0	0	6.2e-4	0	0
Nocardioides scoriae	0.00201	0	0.00093000000000000005	7.6e-4	0.00164	0	0	6.5e-4	0	0
Nocardioides anomalus	0.00175	0	6.4e-4	8.5e-4	0.00155	0	0	0	0	0
Nocardioides ungokensis	0.00185	0	5.8e-4	6.8e-4	0.00222	0	0	4.2e-4	0	0
Nocardioides seonyuensis	0.00175	0	6.4e-4	7.1e-4	0.00243	0.00206	0	6.8e-4	0	0
Nocardioides aquaticus	0.00175	0	6.4e-4	5.4e-4	0.00173	0	0	0	0	0
Nocardioides dongkuii	0.00188	0	7.8e-4	5.4e-4	0.00196	0	0	5.2e-4	0	0
Nocardioides campestrisoli	0.00163	0	0.00208	0.00133	0.00281	0	0	9.8e-4	0	0
Nocardioides pantholopis	0.00172	0	8.7e-4	4.8e-4	0.00164	0	0	0	0	0
Nocardioides marinisabuli	0.00188	0	6.1e-4	7.6e-4	0.00202	0	0	0	0.00103	0
Nocardioides coralli	0.00131	0	4.3e-4	4.2e-4	0.00173	0	0	5.5e-4	0	0
Nocardioides dokdonensis	0.00163	0	8.1e-4	6.5e-4	0.00252	0	0	0.00108	0	0
Nocardioides piscis	0.00156	0	7.5e-4	6.8e-4	0.00135	0	0	7.2e-4	0	0
Nocardioides marmorisolisilvae	0.00124	0	6.7e-4	3.7e-4	0.0014	0	0	3.9e-4	0	0
Nocardioides faecalis	0.0014	0	3.8e-4	0	0.00132	0	0	0.00108	0	0
Nocardioides humi	0.00137	0	6.9e-4	0	0.00173	0	0	0	0.00108	0
Nocardioides aromaticivorans	0.00134	0	6.9e-4	4.8e-4	0.00149	0	0	0	0.00112	0
Nocardioides houyundeii	0.00121	0	7.2e-4	5.9e-4	0.00216	0	0	5.9e-4	0	0
Nocardioides daphniae	0.00131	0	0.00162	0.00138	0.00462	0	0.00139	0.00215	0	0
Nocardioides cynanchi	9.6e-4	0	4.1e-4	4.5e-4	9.9e-4	0	0	3.9e-4	0	0
Nocardioides jishulii	0.00102	0	0.00113	0.00116	0.00257	0	0	9.8e-4	0.00145	0
Nocardioides sambongensis	8.3e-4	0	4.1e-4	0	0.00135	0	0	0	0	0
Nocardioides panacisoli	7.3e-4	0	0	6.5e-4	0.0012	0	0	8.2e-4	0	0
Nocardioides ochotonae	0.00112	0	6.9e-4	0	0.00164	0	0	0	0	0
Nocardioides yefusunii	5.1e-4	0	4.6e-4	0	7.6e-4	0	0	0	0	0
Aeromicrobium sp. HA	0.00134	0	7.2e-4	6.2e-4	8.8e-4	0	0	4.2e-4	0	0
Aeromicrobium sp. Leaf245	4.8e-4	0	0	0	0	0	0	0	0	0
Aeromicrobium choanae	5.7e-4	0	0	0	5.6e-4	0	0	4.9e-4	0	0
Aeromicrobium erythreum	4.8e-4	0	0	0	0	0	0	0	0	0
Aeromicrobium chenweiae	4.5e-4	0	0	0	0	0	0	0	0	0
Pimelobacter simplex	0.00163	0	7.8e-4	7.1e-4	0.00175	0	0	6.5e-4	8.3e-4	0
Friedmanniella luteola	8e-4	0	0	3.4e-4	5.3e-4	0	0	0	0	0
Mumia sp. ZJ1417	4.5e-4	0	0	0	4.4e-4	0	0	0	0	0
Tessaracoccus flavus	0.00112	0.00182	0.02098	0.00525	0.01252	0	0.00171	0.02759	0.00124	0.00189
Tessaracoccus sp. MC1865	4.5e-4	0	0.00165	5.6e-4	6.7e-4	0	0	7.5e-4	0	0
Microlunatus sagamiharensis	8e-4	0	6.1e-4	3.7e-4	4.1e-4	0	5.2e-4	0	0	0
Microlunatus phosphovorus	4.5e-4	0	4.9e-4	2.8e-4	4.1e-4	0	0	0	0	0
Propioniciclava sp. MC1595	7.3e-4	0	0.00715	0.00254	0.00214	0	9.5e-4	0.01601	9.1e-4	0
Cutibacterium acnes	4.8e-4	0.01266	0	0.005	7.3e-4	0.02002	0.00647	0.01308	0	0
Kribbella flavida	5.1e-4	0	3.5e-4	0	3.8e-4	0	0	0	0.00153	0
Kribbella qitaiheensis	4.1e-4	0	0	0	0	0	0	0	0	0
Kribbella sp. CA-293567	4.5e-4	0	0	0	0	0	0	0	0	0
Actinopolymorpha singaporensis	4.8e-4	0	0	0	3.5e-4	0	0	0	0	0
Streptomyces sp. T12	0.00271	0	0	0	0	0.00465	0	0.00561	0	0
Streptomyces sp. CL7	0.00386	0	0	0	0.00822	0	0	0	0.00819	0
Streptomyces sp. SYP-A7193	0.00414	0	0	0	0	0	0	0	0	0
Streptomyces sp. NHF165	6.4e-4	0	0	0	4.7e-4	0	0	0	0	0
Streptomyces sp. WMMC500	0.00115	0	0	0	0	0	0	0	0	0
Streptomyces sp. WAC 01438	0.00127	0	0	0	0	0	0	0	0	0
Streptomyces sp. GMY02	5.4e-4	0	0	0	0	0	0	0	0	0
Streptomyces sp. NA02950	6.7e-4	0	0	0	0	0	0	0	0	0
Streptomyces sp. So13.3	4.8e-4	0	0	0	0	0	0	0	0	0
Streptomyces aurantiacus	8.9e-4	0	0	0	0	0	0	0	0	0
Streptomyces venezuelae	0.0029	0	0.00955	0.00731	0.00231	0	0	0.00329	0	0
Streptomyces lusitanus	0.00366	0	0	0	0.00547	0	0	0	0	0
Streptomyces albus	6.4e-4	0	0	0	0	0	0	0	0	0
Streptomyces genisteinicus	7.6e-4	0	0	0	0	0	0	0	0	0
Streptomyces ambofaciens	0.00201	0	0	0	0	0	0	0	0	0
Streptomyces bathyalis	4.1e-4	0	0	0	0	0	0	0	0	0
Streptomyces calvus	0.00127	0	0	0	0	0	0	0	0	0
Streptomyces chartreusis	0.00261	0	0	0	0	0	0	0	0	0
Streptomyces marincola	4.5e-4	0	0	0	0	0	0	0	0	0
Streptomyces tendae	0.00131	0	0	0	0	0	0	0	0	0
Streptomyces ferrugineus	0.00102	0	0	0	0	0	0	0	0	0
Streptomyces xanthii	6.7e-4	0	0	0	0	0	0	0	0	0
Kitasatospora sp. CM 4170	0.00112	0	0	0	0	0	0	0	0	0
Yinghuangia sp. ASG 101	6.7e-4	0	0	0	3.5e-4	0	0	0	0	0
Mycolicibacterium rutilum	0.00328	0	0	0	4.7e-4	0	0	0	0	0
Mycolicibacterium fluoranthenivorans	8.6e-4	0	0	0	0	0	0	0	0	0
Mycolicibacterium holsaticum	8.9e-4	0	0	0	0	0	0	0	0	0
Rhodococcus rhodochrous	0.00236	0	0.00258	0.00279	0.00237	0	0	0	0.00157	0
Rhodococcus pyridinivorans	0.00315	0	0	0	0.0017	0	0	0.00313	0	0
Rhodococcus opacus	7.3e-4	0	9.5e-4	0	0	0	0	0	0	0
Nocardia asteroides	9.6e-4	0	0	5.4e-4	7.3e-4	0	0	0	0	0
Nocardia brasiliensis	6.7e-4	0	0	0	4.1e-4	0	0	0	0	0
Nocardia farcinica	7e-4	0	0	5.1e-4	5e-4	0	0	0.00104	0	0
Nocardia cyriacigeorgica	5.1e-4	0	0	0	6.4e-4	0	0	0	0	0
Corynebacterium efficiens	0.00558	0.00701	0.04138	0.00655	0.00679	7.4e-4	0.0019	0.00121	0	0
Corynebacterium maris	0.00226	8.4e-4	0.00506	0.00164	5.3e-4	0	9.9e-4	0	0	0
Corynebacterium stationis	6.7e-4	4.5e-4	4.9e-4	0.00102	0.00102	0	6.7e-4	0.00238	0	0
Corynebacterium halotolerans	5.4e-4	0	0.00237	6.5e-4	0.00117	0	0	0	0	0
Corynebacterium humireducens	4.8e-4	4.2e-4	0.0024	7.9e-4	8.8e-4	0	0	0	0	0
Dietzia kunjamensis	0.00583	0.00211	0.01227	0.00531	0.01559	0.00129	0.00238	0.00401	0	0
Dietzia sp. oral taxon 368	0.0029	0.00156	0.00929	0.00454	0.0043	0	0.00151	0.0029	0	0
Dietzia sp. B32	0.00108	0	0.00208	7.6e-4	0.00155	0	0	5.5e-4	0	0
Dietzia lutea	0.00207	7.8e-4	0.00593	0.00322	0.00322	0	9.5e-4	0.00183	0	0
Geodermatophilus obscurus	0.03847	0	0.00145	0.00164	0.0017	0	0	4.9e-4	0	0
Geodermatophilus sp. DSM 44513	0.01023	0	0.00107	7.6e-4	0.00102	0	0	0	0	0
Blastococcus sp. PRF04-17	0.0058	0	7.5e-4	0.00102	0.00129	0	0	5.5e-4	0	0
Blastococcus saxobsidens	0.00472	0	6.9e-4	0.00102	0.00123	0	0	4.9e-4	0	0
Modestobacter marinus	0.0036	0	7.8e-4	7.1e-4	9.9e-4	0	0	0	0	0
Modestobacter sp. L9-4	0.00242	0	4.1e-4	4.5e-4	7.6e-4	0	0	0	0	0
Micromonospora sp. WMMD882	0.00223	0	0	0	0	0	0	0	0	0
Micromonospora sp. WMMC415	0.00118	0	0	0	8.8e-4	0	0	0	0	0
Micromonospora sp. WMMD812	0.00105	0	0	0	0	0	0	0	0	0
Micromonospora echinaurantiaca	0.00143	0	0	0	9.4e-4	0	0	0	0	0
Micromonospora echinofusca	0.00118	0	0	0	8.5e-4	0	0	0	0	0
Micromonospora maris	7.6e-4	0	0	0	0	0	0	0	0	0
Micromonospora krabiensis	7.6e-4	0	0	0	0	0	0	0	0	0
Actinoplanes sp. N902-109	5.7e-4	0	0	0	0	0	0	0	0	0
Actinoplanes sp. OR16	7e-4	0	0	0	7.3e-4	0	0	0	0	0
Actinoplanes missouriensis	7e-4	4.9e-4	0	0	4.7e-4	0	0	0	0	0
Actinoplanes sichuanensis	6.1e-4	0.00104	5.8e-4	0	0	0	0	0	0	0
Actinoplanes teichomyceticus	5.7e-4	0	0	0	0	0	0	0	0	0
Actinoplanes friuliensis	4.5e-4	0	0	0	3.5e-4	0	0	0	0	0
Actinoplanes derwentensis	3.5e-4	0	0	0	0	0	0	0	0	0
Dactylosporangium aurantiacum	8.6e-4	0	7.2e-4	0	9.9e-4	0	0	0	0	0
Dactylosporangium fulvum	7.6e-4	0	0	0	0	0	0	0	0	0
Phytohabitans flavus	5.4e-4	0	0	0	4.1e-4	0	0	0	0	0
Phytohabitans suffuscus	4.8e-4	0	0	0	0	0	0	0	0	0
Actinocatenispora thailandica	4.5e-4	0	0	0	3.5e-4	0	0	0	0	0
Actinocatenispora sera	4.1e-4	0	0	0	0	0	0	0	0	0
Catellatospora sp. IY07-71	6.7e-4	0	0	0	0	0	0	0	0	0
Couchioplanes caeruleus	7e-4	7.8e-4	8.4e-4	0	0	0	0	0	0	0
Pseudonocardia sp. DSM 110487	0.00258	0	0.0011	0.00124	4.7e-4	0	0	0.00117	0	0
Pseudonocardia sp. AL041005-10	8.3e-4	0	0	0	0	0	0	0	0	0
Pseudonocardia sp. HH130630-07	9.9e-4	0	0	0	0	0	0	0	0	0
Pseudonocardia broussonetiae	0.00115	0	0	0	7.3e-4	0	0	0	0	0
Pseudonocardia dioxanivorans	9.9e-4	0	0	0	0	0	0	7.2e-4	0	0
Pseudonocardia petroleophila	9.9e-4	0	0	0	0	0	0	0	0	0
