name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Escherichia	561	G	18	743	761	0.01724
Leclercia	83654	G	15	4	19	0.00043
Citrobacter	544	G	14	3	17	0.00039
Cronobacter	413496	G	11	0	11	0.00025
Pantoea	53335	G	25	1	26	0.00059
Mixta	2100764	G	10	1	11	0.00025
Halomonas	2745	G	60	4	64	0.00145
Rheinheimera	67575	G	10	1	11	0.00025
Vibrio	662	G	55	5	60	0.00136
Aeromonas	642	G	49	18	67	0.00152
Methylomonas	416	G	12	1	13	0.00029
Shewanella	22	G	22	1	23	0.00052
Microbulbifer	48073	G	14	0	14	0.00032
Legionella	445	G	14	0	14	0.00032
Comamonas	283	G	78	37	115	0.00261
Variovorax	34072	G	61	10	71	0.00161
Diaphorobacter	238749	G	58	72	130	0.00295
Hydrogenophaga	47420	G	52	12	64	0.00145
Alicycliphilus	201096	G	43	56	99	0.00224
Acidovorax	12916	G	42	37	79	0.00179
Ramlibacter	174951	G	37	5	42	0.00095
Delftia	80865	G	21	40	61	0.00138
Rhodoferax	28065	G	20	4	24	0.00054
Ottowia	219181	G	13	2	15	0.00034
Paracidovorax	3051137	G	11	9	20	0.00045
Burkholderia	32008	G	111	23	134	0.00304
Paraburkholderia	1822464	G	59	5	64	0.00145
Cupriavidus	106589	G	55	11	66	0.00150
Ralstonia	48736	G	20	4	24	0.00054
Pandoraea	93217	G	17	1	18	0.00041
Caballeronia	1827195	G	11	2	13	0.00029
Massilia	149698	G	137	17	154	0.00349
Pseudoduganella	1522432	G	23	3	26	0.00059
Janthinobacterium	29580	G	14	1	15	0.00034
Achromobacter	222	G	73	20	93	0.00211
Bordetella	517	G	35	5	40	0.00091
Pigmentiphaga	152267	G	12	0	12	0.00027
Roseateles	93681	G	27	7	34	0.00077
Piscinibacter	1114981	G	19	3	22	0.00050
Caldimonas	196013	G	17	5	22	0.00050
Aquabacterium	92793	G	10	2	12	0.00027
Thauera	33057	G	121	40	161	0.00365
Azoarcus	12960	G	17	3	20	0.00045
Aromatoleum	551759	G	14	3	17	0.00039
Nitrosomonas	914	G	18	0	18	0.00041
Chromobacterium	535	G	17	1	18	0.00041
Pontibacter	323449	G	289	18	307	0.00695
Hymenobacter	89966	G	50	1	51	0.00116
Rufibacter	1379908	G	17	4	21	0.00048
Spirosoma	107	G	14	1	15	0.00034
Flavobacterium	237	G	55	13	68	0.00154
Salinimicrobium	561367	G	10	6	16	0.00036
Chryseobacterium	59732	G	57	7	64	0.00145
Cloacibacterium	501783	G	24	5	29	0.00066
Segatella	2974251	G	42	5	47	0.00106
Prevotella	838	G	25	3	28	0.00063
Bacteroides	816	G	36	13	49	0.00111
Sphingobacterium	28453	G	54	12	66	0.00150
Mucilaginibacter	423349	G	13	0	13	0.00029
Pseudocnuella	2812019	G	19	2	21	0.00048
Chitinophaga	79328	G	17	0	17	0.00039
Flavisolibacter	398041	G	11	1	12	0.00027
Rhodocaloribacter	2893090	G	14	1	15	0.00034
Gemmatirosa	1706036	G	16	0	16	0.00036
Myxococcus	32	G	41	6	47	0.00106
Pyxidicoccus	224458	G	35	3	38	0.00086
Corallococcus	83461	G	30	7	37	0.00084
Archangium	47	G	40	5	45	0.00102
Anaeromyxobacter	161492	G	37	0	37	0.00084
Polyangium	55	G	59	1	60	0.00136
Sorangium	39643	G	57	1	58	0.00131
Sandaracinus	1055688	G	25	0	25	0.00057
Labilithrix	1524217	G	10	0	10	0.00023
Nannocystis	53	G	52	0	52	0.00118
Haliangium	162027	G	10	0	10	0.00023
Lacipirellula	2691417	G	11	3	14	0.00032
Tautonia	2680020	G	25	8	33	0.00075
Gemmata	113	G	16	3	19	0.00043
Pseudodesulfovibrio	2035811	G	13	5	18	0.00041
Desulfovibrio	872	G	11	0	11	0.00025
Desulfuromonas	890	G	10	0	10	0.00023
Luteitalea	2004797	G	31	1	32	0.00072
Paludibaculum	1649475	G	10	0	10	0.00023
Aliarcobacter	2321111	G	16	2	18	0.00041
Campylobacter	194	G	15	0	15	0.00034
Treponema	157	G	11	0	11	0.00025
Homo	9605	G	1819	183	2002	0.04535
Aspergillus	5052	G	105	6	111	0.00251
Fusarium	5506	G	53	7	60	0.00136
Ascochyta	5453	G	41	4	45	0.00102
Pichia	4919	G	10	1	11	0.00025
Babesia	5864	G	679	32	711	0.01611
Plasmodium	5820	G	10	1	11	0.00025
Halomicroarcula	1427149	G	12	4	16	0.00036
Halococcus	2249	G	31	0	31	0.00070
Halalkalicoccus	332246	G	26	0	26	0.00059
Halorussus	1070314	G	11	3	14	0.00032
Natronococcus	29287	G	24	5	29	0.00066
Natrinema	88723	G	18	4	22	0.00050
Halobaculum	43927	G	15	2	17	0.00039
Halorubrum	56688	G	12	4	16	0.00036
Methanosarcina	2207	G	32	1	33	0.00075
Methanothrix	2222	G	36	0	36	0.00082
Methanobacterium	2160	G	90	0	90	0.00204
Methanobrevibacter	2172	G	87	0	87	0.00197
Methanosphaera	2316	G	10	0	10	0.00023
Nitrosocosmicus	1826864	G	17	0	17	0.00039
Varicellovirus	10319	G	66	0	66	0.00150
